,id_point,building_id,name_point,description,units,tagged_units,equip_id,equip_type_abbr,equip_type_name,tags
0,308715,438,AOLTW.FPMETER-053.SM-020,,kWh,kwh,28550,METER,Meter,"['meter', 'elecMeter']"
1,308716,438,AOLTW.FPMETER-053.WM-014,,kWh,kwh,28551,METER,Meter,"['meter', 'elecMeter']"
2,308008,438,Base Building AHU-37N-1_Final Filter Pressure Status,,On/Off,on/off,28552,AHU,Air Handling Unit,"['ahu', 'hvac']"
3,308007,438,Base Building AHU-37N-1_Cooling Coil Valve Command,,%,%,28552,AHU,Air Handling Unit,"['ahu', 'hvac']"
4,308009,438,Base Building AHU-37N-1_Occupied Mode,,Occ,occ,28552,AHU,Air Handling Unit,"['ahu', 'hvac']"
5,308011,438,Base Building AHU-37N-1_Supply Fan Start/Stop Command,,On/Off,on/off,28552,AHU,Air Handling Unit,"['ahu', 'hvac']"
6,308010,438,Base Building AHU-37N-1_Supply Air Temperature Setpoint,,F,f,28552,AHU,Air Handling Unit,"['ahu', 'hvac']"
7,307611,438,Related AHU-14N-1_Supply Fan VFD Speed Command,,%,%,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
8,307602,438,Related AHU-14N-1_Low Temperature Detector,,On/Off,on/off,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
9,307608,438,Related AHU-14N-1_Supply Air Temperature,,F,f,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
10,307607,438,Related AHU-14N-1_Supply Air Static Pressure Setpoint,,in W.C.,in w.c.,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
11,307605,438,Related AHU-14N-1_Return Air Temperature,,F,f,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
12,307604,438,Related AHU-14N-1_Occupied Mode,,Occ,occ,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
13,307601,438,Related AHU-14N-1_High Static Pressure Shutdown Alarm,,On/Off,on/off,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
14,307610,438,Related AHU-14N-1_Supply Fan Start/Stop Command,,On/Off,on/off,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
15,307606,438,Related AHU-14N-1_Supply Air Static Pressure (Down Duct),,in W.C.,in w.c.,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
16,307599,438,Related AHU-14N-1_Cooling Coil Valve Command,,%,%,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
17,307603,438,Related AHU-14N-1_Mixed Air Temperature,,F,f,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
18,307609,438,Related AHU-14N-1_Supply Air Temperature Setpoint,,F,f,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
19,307600,438,Related AHU-14N-1_Final Filter Pressure Status,,On/Off,on/off,28553,AHU,Air Handling Unit,"['ahu', 'hvac']"
20,307615,438,Related AHU-15N-1_Low Temperature Detector,,On/Off,on/off,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
21,307622,438,Related AHU-15N-1_Supply Air Temperature Setpoint,,F,f,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
22,307613,438,Related AHU-15N-1_Final Filter Pressure Status,,On/Off,on/off,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
23,307624,438,Related AHU-15N-1_Supply Fan VFD Speed Command,,%,%,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
24,307623,438,Related AHU-15N-1_Supply Fan Start/Stop Command,,On/Off,on/off,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
25,307621,438,Related AHU-15N-1_Supply Air Temperature,,F,f,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
26,307614,438,Related AHU-15N-1_High Static Pressure Shutdown Alarm,,On/Off,on/off,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
27,307617,438,Related AHU-15N-1_Occupied Mode,,Occ,occ,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
28,307612,438,Related AHU-15N-1_Cooling Coil Valve Command,,%,%,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
29,307618,438,Related AHU-15N-1_Return Air Temperature,,F,f,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
30,307619,438,Related AHU-15N-1_Supply Air Static Pressure (Down Duct),,in W.C.,in w.c.,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
31,307620,438,Related AHU-15N-1_Supply Air Static Pressure Setpoint,,in W.C.,in w.c.,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
32,307616,438,Related AHU-15N-1_Mixed Air Temperature,,F,f,28554,AHU,Air Handling Unit,"['ahu', 'hvac']"
33,307636,438,Related AHU-16N-1_Supply Fan Start/Stop Command,,On/Off,on/off,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
34,307625,438,Related AHU-16N-1_Cooling Coil Valve Command,,%,%,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
35,307637,438,Related AHU-16N-1_Supply Fan VFD Speed Command,,%,%,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
36,307634,438,Related AHU-16N-1_Supply Air Temperature,,F,f,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
37,307633,438,Related AHU-16N-1_Supply Air Static Pressure Setpoint,,in W.C.,in w.c.,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
38,307632,438,Related AHU-16N-1_Supply Air Static Pressure (Down Duct),,in W.C.,in w.c.,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
39,307628,438,Related AHU-16N-1_Low Temperature Detector,,On/Off,on/off,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
40,307631,438,Related AHU-16N-1_Return Air Temperature,,F,f,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
41,307630,438,Related AHU-16N-1_Occupied Mode,,Occ,occ,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
42,307629,438,Related AHU-16N-1_Mixed Air Temperature,,F,f,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
43,307626,438,Related AHU-16N-1_Final Filter Pressure Status,,On/Off,on/off,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
44,307627,438,Related AHU-16N-1_High Static Pressure Shutdown Alarm,,On/Off,on/off,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
45,307635,438,Related AHU-16N-1_Supply Air Temperature Setpoint,,F,f,28555,AHU,Air Handling Unit,"['ahu', 'hvac']"
46,307646,438,Hotel AHU-17N-1_Occupied Mode,,Occ,occ,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
47,307649,438,Hotel AHU-17N-1_Preheat Coil Leaving Air Temperature Setpoint,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
48,307653,438,Hotel AHU-17N-1_Supply Air Static Pressure Setpoint,,in W.C.,in w.c.,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
49,307652,438,Hotel AHU-17N-1_Supply Air Static Pressure (Down Duct),,in W.C.,in w.c.,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
50,307651,438,Hotel AHU-17N-1_Status,,?,?,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
51,307648,438,Hotel AHU-17N-1_Preheat Coil Leaving Air Temperature,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
52,307644,438,Hotel AHU-17N-1_Minimum Outdoor Air Damper Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
53,307643,438,Hotel AHU-17N-1_Low Temperature Detector,,On/Off,on/off,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
54,307639,438,Hotel AHU-17N-1_Face & Bypass Damper Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
55,307638,438,Hotel AHU-17N-1_Cooling Coil Valve Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
56,307641,438,Hotel AHU-17N-1_Heating Coil Valve Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
57,307640,438,Hotel AHU-17N-1_Final Filter Pressure Status,,On/Off,on/off,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
58,307642,438,Hotel AHU-17N-1_High Static Pressure Shutdown Alarm,,On/Off,on/off,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
59,307645,438,Hotel AHU-17N-1_Mixed Air Temperature,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
60,307647,438,Hotel AHU-17N-1_Outdoor Air Damper Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
61,307650,438,Hotel AHU-17N-1_Return Air Temperature,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
62,307655,438,Hotel AHU-17N-1_Supply Air Temperature Setpoint,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
63,307656,438,Hotel AHU-17N-1_Supply Fan Start/Stop Command,,On/Off,on/off,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
64,307657,438,Hotel AHU-17N-1_Supply Fan VFD Speed Command,,%,%,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
65,307654,438,Hotel AHU-17N-1_Supply Air Temperature,,F,f,28556,AHU,Air Handling Unit,"['ahu', 'hvac']"
66,307662,438,Hotel AHU-17N-2_High Static Pressure Shutdown Alarm,,On/Off,on/off,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
67,307663,438,Hotel AHU-17N-2_Low Temperature Detector,,On/Off,on/off,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
68,307667,438,Hotel AHU-17N-2_Preheat Coil Leaving Air Temperature,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
69,307671,438,Hotel AHU-17N-2_Supply Air Static Pressure (Down Duct),,in W.C.,in w.c.,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
70,307675,438,Hotel AHU-17N-2_Supply Fan Start/Stop Command,,On/Off,on/off,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
71,307668,438,Hotel AHU-17N-2_Preheat Coil Leaving Air Temperature Setpoint,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
72,307674,438,Hotel AHU-17N-2_Supply Air Temperature Setpoint,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
73,307659,438,Hotel AHU-17N-2_Face & Bypass Damper Command,,%,%,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
74,307661,438,Hotel AHU-17N-2_Heating Coil Valve Command,,%,%,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
75,307660,438,Hotel AHU-17N-2_Final Filter Pressure Status,,On/Off,on/off,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
76,307672,438,Hotel AHU-17N-2_Supply Air Static Pressure Setpoint,,in W.C.,in w.c.,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
77,307658,438,Hotel AHU-17N-2_Cooling Coil Valve Command,,%,%,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
78,307673,438,Hotel AHU-17N-2_Supply Air Temperature,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
79,307669,438,Hotel AHU-17N-2_Return Air Temperature,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
80,307666,438,Hotel AHU-17N-2_Outdoor Air Damper Command,,%,%,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
81,307676,438,Hotel AHU-17N-2_Supply Fan VFD Speed Command,,%,%,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
82,307670,438,Hotel AHU-17N-2_Status,,?,?,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
83,307664,438,Hotel AHU-17N-2_Mixed Air Temperature,,F,f,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
84,307665,438,Hotel AHU-17N-2_Occupied Mode,,Occ,occ,28557,AHU,Air Handling Unit,"['ahu', 'hvac']"
85,307688,438,Hotel AHU-17N-3 (100% OA)_Return Air Temperature,,F,f,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
86,307681,438,Hotel AHU-17N-3 (100% OA)_High Static Pressure Shutdown Alarm,,On/Off,on/off,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
87,307683,438,Hotel AHU-17N-3 (100% OA)_Mixed Air Temperature,,F,f,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
88,307677,438,Hotel AHU-17N-3 (100% OA)_Cooling Coil Valve Command,,%,%,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
89,307678,438,Hotel AHU-17N-3 (100% OA)_Face & Bypass Damper Command,,%,%,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
90,307679,438,Hotel AHU-17N-3 (100% OA)_Final Filter Pressure Status,,On/Off,on/off,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
91,307687,438,Hotel AHU-17N-3 (100% OA)_Preheat Coil Leaving Air Temperature Setpoint,,F,f,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
92,307680,438,Hotel AHU-17N-3 (100% OA)_Heating Coil Valve Command,,%,%,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
93,307682,438,Hotel AHU-17N-3 (100% OA)_Low Temperature Detector,,On/Off,on/off,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
94,307685,438,Hotel AHU-17N-3 (100% OA)_Occupied Mode,,Occ,occ,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
95,307684,438,Hotel AHU-17N-3 (100% OA)_Mixing Box Dampers Command,,%,%,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
96,307686,438,Hotel AHU-17N-3 (100% OA)_Preheat Coil Leaving Air Temperature,,F,f,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
97,307689,438,Hotel AHU-17N-3 (100% OA)_Status,,?,?,28558,AHU,Air Handling Unit,"['ahu', 'hvac']"
