timestamp,AHU_C1_7_B-AHU_CCVC,AHU_C1_7_B-AHU_OCC,AHU_C1_7_B-AHU_TAS,AHU_C1_7_B-AHU_TAS_SP
2020-05-01 04:00:00+00:00,85,1,15.6,15.55555556
2020-05-01 04:15:00+00:00,84,1,15.57222222,15.55555556
2020-05-01 04:30:00+00:00,81,1,15.57222222,15.55555556
2020-05-01 04:45:00+00:00,82,1,15.57222222,15.55555556
2020-05-01 05:00:00+00:00,79,1,15.51111111,15.55555556
2020-05-01 05:15:00+00:00,74,1,15.55,15.55555556
2020-05-01 05:30:00+00:00,72,1,15.52777778,15.55555556
2020-05-01 05:45:00+00:00,76,1,15.62777778,15.55555556
2020-05-01 06:00:00+00:00,78,1,15.51111111,15.55555556
2020-05-01 06:15:00+00:00,81,1,15.63888889,15.55555556
2020-05-01 06:30:00+00:00,82,1,15.52222222,15.55555556
2020-05-01 06:45:00+00:00,78,1,15.52777778,15.55555556
2020-05-01 07:00:00+00:00,76,1,15.56111111,15.55555556
2020-05-01 07:15:00+00:00,78,1,15.56111111,15.55555556
2020-05-01 07:30:00+00:00,79,1,15.57777778,15.55555556
2020-05-01 07:45:00+00:00,82,1,15.51111111,15.55555556
2020-05-01 08:00:00+00:00,74,1,15.51111111,15.55555556
2020-05-01 08:15:00+00:00,72,1,15.52222222,15.55555556
2020-05-01 08:30:00+00:00,71,1,15.55,15.55555556
2020-05-01 08:45:00+00:00,72,1,15.53888889,15.55555556
2020-05-01 09:00:00+00:00,71,1,15.57777778,15.55555556
2020-05-01 09:15:00+00:00,72,1,15.52777778,15.55555556
2020-05-01 09:30:00+00:00,69,1,15.52222222,15.55555556
2020-05-01 09:45:00+00:00,70,1,15.57777778,15.55555556
2020-05-01 10:00:00+00:00,71,1,15.55,15.55555556
2020-05-01 10:15:00+00:00,52,1,14.95,15.55555556
2020-05-01 10:30:00+00:00,31,1,15.57777778,15.55555556
2020-05-01 10:45:00+00:00,25,1,15.52777778,15.55555556
2020-05-01 11:00:00+00:00,24,1,15.5,15.55555556
2020-05-01 11:15:00+00:00,22,1,15.45,15.55555556
2020-05-01 11:30:00+00:00,19,1,15.67222222,15.55555556
2020-05-01 11:45:00+00:00,27,1,15.43888889,15.55555556
2020-05-01 12:00:00+00:00,9,1,14.95,15.55555556
2020-05-01 12:15:00+00:00,22,1,16.88888889,15.55555556
